Date,Close ripple,Prediccion,holtwinters
2015-01-01,0.02439,,
2015-01-02,0.024318,,
2015-01-03,0.022106,,
2015-01-04,0.018928,,
2015-01-05,0.020316,,
2015-01-06,0.020732,,
2015-01-07,0.020843,,
2015-01-08,0.020676,,
2015-01-09,0.020576,,
2015-01-10,0.019233,,
2015-01-11,0.018765,,
2015-01-12,0.018434,,
2015-01-13,0.015648,,
2015-01-14,0.014233,,
2015-01-15,0.016444,,
2015-01-16,0.016403,,
2015-01-17,0.015361,,
2015-01-18,0.015622,,
2015-01-19,0.015991,,
2015-01-20,0.016112,,
2015-01-21,0.016653,,
2015-01-22,0.01701,,
2015-01-23,0.016734,,
2015-01-24,0.016736,,
2015-01-25,0.016578,,
2015-01-26,0.016019,,
2015-01-27,0.015841,,
2015-01-28,0.01497,,
2015-01-29,0.014706,,
2015-01-30,0.014443,,
2015-01-31,0.014297999999999996,,
2015-02-01,0.014139,,
2015-02-02,0.013669999999999998,,
2015-02-03,0.013025,,
2015-02-04,0.013498,,
2015-02-05,0.014466,,
2015-02-06,0.015185,,
2015-02-07,0.014577,,
2015-02-08,0.014426,,
2015-02-09,0.013994,,
2015-02-10,0.013649,,
2015-02-11,0.013775999999999998,,
2015-02-12,0.014039,,
2015-02-13,0.014566,,
2015-02-14,0.014956,,
2015-02-15,0.013712,,
2015-02-16,0.01375,,
2015-02-17,0.014031,,
2015-02-18,0.013791,,
2015-02-19,0.013758,,
2015-02-20,0.013481,,
2015-02-21,0.013286,,
2015-02-22,0.01313,,
2015-02-23,0.013334,,
2015-02-24,0.013396000000000002,,
2015-02-25,0.013401,,
2015-02-26,0.013299,,
2015-02-27,0.01336,,
2015-02-28,0.012998,,
2015-03-01,0.012239,,
2015-03-02,0.012192,,
2015-03-03,0.010593,,
2015-03-04,0.010032,,
2015-03-05,0.011544,,
2015-03-06,0.010856,,
2015-03-07,0.010535,,
2015-03-08,0.009961,,
2015-03-09,0.010643,,
2015-03-10,0.010086,,
2015-03-11,0.010229,,
2015-03-12,0.010359,,
2015-03-13,0.010511,,
2015-03-14,0.011088,,
2015-03-15,0.010817,,
2015-03-16,0.010968,,
2015-03-17,0.010929,,
2015-03-18,0.010575,,
2015-03-19,0.01048,,
2015-03-20,0.010446,,
2015-03-21,0.010182,,
2015-03-22,0.010196,,
2015-03-23,0.010309,,
2015-03-24,0.009757,,
2015-03-25,0.009115,,
2015-03-26,0.008764,,
2015-03-27,0.008895,,
2015-03-28,0.008851000000000001,,
2015-03-29,0.008498,,
