Date,bitcoin,prediccion_f1v5n4e20
2018-05-01,9119.01,10310.86
2018-05-02,9235.92,10295.784
2018-05-03,9743.86,10358.498
2018-05-04,9700.76,10470.505
2018-05-05,9858.15,10494.153
2018-05-06,9654.8,10622.652
2018-05-07,9373.01,10764.872
2018-05-08,9234.82,10717.801
2018-05-09,9325.18,10574.495
2018-05-10,9043.94,10431.438
2018-05-11,8441.49,10134.648
2018-05-12,8504.89,9682.205
2018-05-13,8723.94,9492.991
2018-05-14,8716.79,9428.428
2018-05-15,8510.38,9399.5
2018-05-16,8368.83,9298.145
2018-05-17,8094.32,9240.643
2018-05-18,8250.97,9067.641
2018-05-19,8247.18,9029.935
2018-05-20,8513.25,8932.51
2018-05-21,8418.99,8978.704
2018-05-22,8041.78,8928.438
2018-05-23,7557.82,8809.243
2018-05-24,7587.34,8571.28
2018-05-25,7480.14,8482.914
