Date,bitcoin,prediccion_f7v5n4e20
2018-05-07,9373.01,10067.495
2018-05-08,9234.82,10033.488
2018-05-09,9325.18,10008.148
2018-05-10,9043.94,10190.829
2018-05-11,8441.49,10295.624
2018-05-12,8504.89,10455.735
2018-05-13,8723.94,10577.136
2018-05-14,8716.79,10511.789
2018-05-15,8510.38,10479.807
2018-05-16,8368.83,10522.694
2018-05-17,8094.32,10371.367
2018-05-18,8250.97,10410.672
2018-05-19,8247.18,10382.027
2018-05-20,8513.25,10395.091
2018-05-21,8418.99,10373.026
2018-05-22,8041.78,10351.75
2018-05-23,7557.82,10329.999
2018-05-24,7587.34,10343.457
2018-05-25,7480.14,10329.638
