Date,bitcoin,prediccion_f5v7n4e20
2018-05-07,9373.01,6726.546
2018-05-08,9234.82,6462.1733
2018-05-09,9325.18,6204.59
2018-05-10,9043.94,5956.837
2018-05-11,8441.49,5891.104
2018-05-12,8504.89,5775.249
2018-05-13,8723.94,5491.2554
2018-05-14,8716.79,5034.4365
2018-05-15,8510.38,4733.698
2018-05-16,8368.83,4089.8274
2018-05-17,8094.32,3508.9568
2018-05-18,8250.97,2775.503
2018-05-19,8247.18,2117.5369
2018-05-20,8513.25,1627.4926
2018-05-21,8418.99,1323.7035
2018-05-22,8041.78,917.5503
2018-05-23,7557.82,921.56287
2018-05-24,7587.34,789.8173
2018-05-25,7480.14,730.14496
