Date,bitcoin,prediccion_f1v1n2e20
2018-04-27,8987.05,7466.9688
2018-04-28,9348.48,7210.8203
2018-04-29,9419.08,7576.288
2018-04-30,9240.55,7619.053
2018-05-01,9119.01,7564.3853
2018-05-02,9235.92,7486.652
2018-05-03,9743.86,7572.418
2018-05-04,9700.76,8191.256
2018-05-05,9858.15,8175.6436
2018-05-06,9654.8,8378.8125
2018-05-07,9373.01,8544.873
2018-05-08,9234.82,8106.9277
2018-05-09,9325.18,8051.45
2018-05-10,9043.94,7998.3604
2018-05-11,8441.49,7406.1714
2018-05-12,8504.89,7284.792
2018-05-13,8723.94,7227.8965
2018-05-14,8716.79,7443.607
2018-05-15,8510.38,7436.55
2018-05-16,8368.83,7309.78
2018-05-17,8094.32,7167.39
2018-05-18,8250.97,7144.403
2018-05-19,8247.18,7261.7666
2018-05-20,8513.25,7202.4194
2018-05-21,8418.99,7365.576
2018-05-22,8041.78,7157.967
2018-05-23,7557.82,6735.233
2018-05-24,7587.34,6113.543
2018-05-25,7480.14,6317.4365
