Date,bitcoin,prediccion_f5v2n4e35
2018-05-02,9235.92,6904.384
2018-05-03,9743.86,6920.383
2018-05-04,9700.76,7020.1577
2018-05-05,9858.15,6994.8677
2018-05-06,9654.8,6925.534
2018-05-07,9373.01,6924.6704
2018-05-08,9234.82,7069.9595
2018-05-09,9325.18,7177.5415
2018-05-10,9043.94,7204.5522
2018-05-11,8441.49,7193.227
2018-05-12,8504.89,7080.1387
2018-05-13,8723.94,6982.9185
2018-05-14,8716.79,6972.0767
2018-05-15,8510.38,6927.596
2018-05-16,8368.83,6724.4287
2018-05-17,8094.32,6601.6587
2018-05-18,8250.97,6666.0337
2018-05-19,8247.18,6714.4155
2018-05-20,8513.25,6665.595
2018-05-21,8418.99,6586.4004
2018-05-22,8041.78,6492.168
2018-05-23,7557.82,6465.3867
2018-05-24,7587.34,6499.9966
2018-05-25,7480.14,6559.373
