,f5v7n4e30_loss,f5v7n4e30_val_loss
0,0.08894951709795117,0.6565038391521999
1,0.05877656485000164,0.5387602618762425
2,0.03496755121995022,0.45235550829342436
3,0.022569759893530775,0.3819119121347155
4,0.01298891202117879,0.33320927194186617
5,0.009395535340265252,0.3006680394921984
6,0.008347586815079472,0.27629226233278004
7,0.007513775312719811,0.26212015960897717
8,0.007615033297403024,0.2523816760097231
9,0.007700488732039633,0.24648445206029074
10,0.007720231302174749,0.2459250113793782
11,0.007624166893154973,0.2460048965045384
12,0.007660674779574469,0.24770323719297135
13,0.007522600836646144,0.24560703762939998
14,0.00751903739822383,0.24343215780598776
15,0.007473007877274315,0.24222605781895773
16,0.007392549142702529,0.24175938963890076
17,0.007381598631122915,0.24347363199506486
18,0.00739694273532691,0.24454196223190852
19,0.007278866088478872,0.2410098569733756
20,0.007318347597974215,0.23740906800542558
21,0.007325947847180437,0.23193748082433427
22,0.00719630992556415,0.2320073949439185
23,0.007183721803110278,0.22919218029294694
24,0.007101953522956903,0.22974143283707754
25,0.007066103788830414,0.23029073434216635
26,0.007125490617080785,0.22560451924800873
27,0.007071621319518821,0.22626515371458872
28,0.006995469531145796,0.2231521031686238
29,0.006906597054388263,0.22036706975528172
