,f2v2_loss,f2v2_val_loss
0,0.005997520699009162,0.15788317643679106
1,0.010991269654031787,0.10539133617511162
2,0.0015910879686075324,0.04213604789513808
3,0.0011235709978163544,0.02603629260109021
4,0.0008999665965371042,0.025970630920850314
5,0.0008853921749473072,0.02282853625141657
6,0.000799038256565818,0.020390076132921073
7,0.0007458394174085845,0.017913275613234594
8,0.0006813565308410145,0.015531009063124657
9,0.0006221930759954195,0.013358372191970166
10,0.0005683897811562523,0.011295211429779347
11,0.000515029078948094,0.009473861266787235
12,0.0004700771539527001,0.007840552009069003
13,0.0004275835088163444,0.0064637093589856075
14,0.00039290225604279584,0.0053167469226397
15,0.000362076268881219,0.0044208314413061505
16,0.0003383257871447604,0.0037357032728882935
17,0.0003169967720981186,0.0032524140551686287
18,0.0003022028550181803,0.0029112530084183584
19,0.00028569428748061155,0.002699939963909296
20,0.00027792029532481004,0.0025553901214152575
21,0.00025983736953735917,0.0024880402936385227
22,0.00026367683732423573,0.0024391382825202667
23,0.00023414540647642527,0.0024404670111835003
24,0.000289181441270751,0.0024852311740127895
25,0.00027595750932424534,0.002588083519815252
26,0.0008199446020898442,0.0031602301706488314
27,0.0019134061149384137,0.01427051224387609
28,0.004213284212799842,0.003110855173033017
29,0.0035479144878723294,0.05916409423718086
30,0.002723332383673754,0.01214999404664223
31,0.0004483788733315645,0.007217812566803052
32,0.00039819240742032107,0.014168537293489162
