Date,bitcoin,f1v1n2e30,f1v1n4e30,f1v2n2e30,f1v2n4e30,f1v5n2e30,f1v5n4e30,f1v7n2e30,f1v7n4e30,f2v1n2e30,f2v1n4e30,f2v2n2e30,f2v2n4e30,f2v5n2e30,f2v5n4e30,f2v7n2e30,f2v7n4e30,f5v1n2e30,f5v1n4e30,f5v2n2e30,f5v2n4e30,f5v5n2e30,f5v5n4e30,f5v7n2e30,f5v7n4e30,f7v1n2e30,f7v1n4e30,f7v2n2e30,f7v2n4e30,f7v5n2e30,f7v5n4e30,f7v7n2e30,f7v7n4e30
2017-03-08,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-09,1188.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-10,1116.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-11,1175.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-12,1221.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-13,1231.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-14,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-15,1249.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-16,1187.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-17,1100.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-18,973.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-19,1036.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,1054.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-21,1120.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-22,1049.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-23,1038.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-24,937.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-25,972.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-26,966.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,1045.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,1047.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
