,f7v5n2e30_loss,f7v5n2e30_val_loss
0,0.11177930821889147,0.5230159528021302
1,0.06888556888827392,0.3764156637979405
2,0.04007545560441848,0.302554400903838
3,0.029707294303782973,0.2467001935334078
4,0.024151947706871266,0.218540610412934
5,0.021506484100465982,0.19192545282255327
6,0.019979081308848748,0.1815496584999242
7,0.018919722029857117,0.1702644253881382
8,0.01762751116150278,0.16397203910829766
9,0.01693890344176907,0.15551016531285963
10,0.015343463302936265,0.1607127003205408
11,0.014378585545319239,0.15269625343249313
12,0.013351021577386936,0.152947033356343
13,0.012709808509582615,0.1415526763885282
14,0.011586916327971512,0.14030150709108316
15,0.01093569073320793,0.1435784047020466
16,0.010282592443057665,0.1399392100782799
17,0.009841910631705503,0.125646366213914
18,0.009057832928032012,0.12561494423841527
19,0.008726365871858556,0.12298830428543235
20,0.008289664896682468,0.12102470571906972
21,0.007783205629088681,0.11606510506992761
22,0.007741694940995628,0.12109967919449056
23,0.007141810461552031,0.11113439193910121
24,0.006992534648770361,0.10563264668702946
25,0.006880512016315694,0.1014057518498573
26,0.006484007797736632,0.10461866875162482
27,0.006602761700905678,0.10771687770777914
28,0.006268655453471588,0.09995076533024465
29,0.006402617427815161,0.09262573968901831
