f2v2n2e20_loss,f2v2n2e20val_loss
0.10158790049907454,0.17962165739625058
0.08602986034953736,0.14580740383330812
0.07303196908319312,0.11361485378856355
0.06032795540713135,0.0880957434469081
0.0510632578637518,0.05783860488457883
0.04144200241400864,0.03759835420691587
0.035584059075846435,0.02418255545397071
0.030874263763083973,0.015268943906622999
0.026400342387395925,0.010657236316895231
0.02329500532768184,0.0070764526942784485
0.01945399788954339,0.005310905724516178
0.01628586437208188,0.0040151075759724255
0.014013234375371398,0.003697890689239857
0.011619186431720501,0.0041808545121308814
0.010204626012170512,0.004945739432475827
0.00881124140675081,0.006039204635716816
0.0077992305417203395,0.006514788828195727
0.007331661255845827,0.007968590300074442
0.006830327638594509,0.00926302091287885
0.006598438017226251,0.008623903607355153
