Date,bitcoin,prediccion_f2v5n4e20
2018-05-02,9235.92,8075.057
2018-05-03,9743.86,8091.4434
2018-05-04,9700.76,8194.946
2018-05-05,9858.15,8600.256
2018-05-06,9654.8,8706.256
2018-05-07,9373.01,8892.148
2018-05-08,9234.82,9071.162
2018-05-09,9325.18,8975.308
2018-05-10,9043.94,8920.296
2018-05-11,8441.49,8871.65
2018-05-12,8504.89,8425.047
2018-05-13,8723.94,8131.193
2018-05-14,8716.79,7740.8906
2018-05-15,8510.38,7668.614
2018-05-16,8368.83,7584.8857
2018-05-17,8094.32,7461.158
2018-05-18,8250.97,7345.15
2018-05-19,8247.18,7312.519
2018-05-20,8513.25,7281.544
2018-05-21,8418.99,7172.4165
2018-05-22,8041.78,7210.3975
2018-05-23,7557.82,7110.678
2018-05-24,7587.34,6822.55
2018-05-25,7480.14,6431.105
