,f1v0_loss,f1v0_val_loss
0,1583690.6997722671,27704747.384615384
1,1583606.9329453441,27704288.307692308
2,1583530.4309210526,27703820.923076924
3,1583450.3178137653,27703323.692307692
4,1583363.5919787448,27702781.846153848
5,1583268.3800607286,27702182.769230768
6,1583163.1525809716,27701525.53846154
7,1583046.997722672,27700801.53846154
8,1582919.593117409,27700002.769230768
9,1582780.480263158,27699137.53846154
10,1582630.0540232793,27698198.769230768
11,1582468.561867409,27697200.615384616
12,1582296.5320091094,27696134.46153846
13,1582114.3108552631,27695008.0
14,1581922.9373734817,27693823.692307692
15,1581722.4015688258,27692588.923076924
16,1581513.8054149798,27691305.230769232
17,1581297.6375253038,27689975.692307692
18,1581074.1451163967,27688603.692307692
19,1580843.9221912955,27687187.076923076
20,1580607.1800354251,27685735.076923076
21,1580364.4729251012,27684243.384615384
22,1580115.7787196357,27682722.153846152
23,1579861.5732540486,27681160.0
24,1579602.0580718624,27679569.53846154
25,1579337.0938765183,27677946.46153846
26,1579066.957236842,27676289.230769232
27,1578792.0847672066,27674606.153846152
28,1578512.1595394737,27672889.230769232
29,1578227.472165992,27671145.230769232
30,1577938.1234817815,27669369.846153848
31,1577644.0962803643,27667570.153846152
32,1577345.5378289474,27665739.076923076
33,1577053.618041498,27663980.0
34,1576764.0149291498,27662207.384615384
35,1576480.7753036437,27660520.307692308
36,1576214.8742408906,27658900.0
37,1575948.873861336,27657275.384615384
38,1575681.9994939272,27655642.46153846
39,1575414.2866902833,27654004.615384616
40,1575145.6064018218,27652363.692307692
41,1574889.2677125507,27650830.153846152
42,1574638.80895749,27649301.846153848
43,1574388.8098431174,27647771.076923076
44,1574141.7478491904,27646301.53846154
45,1573917.6103238866,27644945.846153848
46,1573700.719382591,27643645.846153848
47,1573495.860576923,27642397.53846154
48,1573293.3591852228,27641161.230769232
49,1573099.1229757085,27639997.230769232
50,1572913.5719888664,27638884.923076924
51,1572738.1343623481,27637816.0
52,1572564.8847419028,27636759.076923076
53,1572393.207869433,27635708.923076924
54,1572223.0556680162,27634671.384615384
55,1572054.0497216599,27633638.769230768
56,1571886.4817813765,27632614.769230768
57,1571719.9835526317,27631597.53846154
58,1571554.7701163967,27630588.307692308
59,1571390.5340334007,27629584.307692308
60,1571227.295167004,27628585.846153848
61,1571064.8550101214,27627591.384615384
62,1570903.395242915,27626602.46153846
63,1570742.8013663967,27625622.153846152
64,1570583.017965587,27624642.769230768
65,1570423.9633097167,27623668.615384616
66,1570265.6566295547,27622703.076923076
67,1570108.0881831984,27621737.230769232
68,1569951.06819332,27620775.384615384
69,1569794.7010374493,27619819.076923076
70,1569638.9383856275,27618864.307692308
71,1569483.67826417,27617917.53846154
72,1569329.05680668,27616966.46153846
73,1569174.9238360324,27616024.0
74,1569021.3642459514,27615081.230769232
75,1568868.2215334007,27614142.46153846
76,1568715.4697621458,27613209.53846154
77,1568563.2119180162,27612276.307692308
78,1568411.3956224697,27611345.846153848
79,1568259.9261133603,27610415.384615384
80,1568108.9778593117,27609487.384615384
81,1567958.182312753,27608565.230769232
82,1567807.8736082995,27607643.076923076
83,1567657.9717864373,27606723.076923076
84,1567508.2840334007,27605806.153846152
85,1567359.048076923,27604889.53846154
86,1567210.0385880566,27603975.384615384
87,1567061.3078188258,27603064.0
88,1566912.9812753038,27602151.076923076
89,1566764.7553137653,27601242.46153846
90,1566616.860576923,27600336.307692308
91,1566469.4047317815,27599427.384615384
92,1566321.945470648,27598524.307692308
93,1566174.9252277329,27597623.692307692
94,1566028.0632591094,27596718.769230768
95,1565881.4185222671,27595818.46153846
96,1565735.0135374493,27594919.076923076
97,1565588.7739119434,27594022.769230768
98,1565442.7397520242,27593123.384615384
99,1565297.0158147772,27592226.769230768
100,1565151.495951417,27591334.46153846
101,1565006.00569332,27590440.615384616
102,1564860.7348178138,27589548.0
103,1564715.739625506,27588656.923076924
104,1564570.780111336,27587764.615384616
105,1564426.1762398786,27586874.769230768
106,1564281.5737601214,27585990.769230768
107,1564137.116396761,27585102.153846152
108,1563992.8903087045,27584214.153846152
109,1563848.8531123481,27583328.307692308
110,1563704.9273785425,27582440.0
111,1563561.0884362347,27581558.46153846
112,1563417.341472672,27580671.384615384
113,1563273.8967611336,27579788.307692308
114,1563130.4810222671,27578906.769230768
115,1562987.1563765183,27578023.692307692
116,1562844.0153087045,27577146.46153846
117,1562701.0359311742,27576264.615384616
118,1562558.1268977732,27575388.615384616
119,1562415.3146508096,27574505.53846154
120,1562272.597798583,27573629.53846154
121,1562129.8873987854,27572752.0
122,1561987.3898026317,27571874.46153846
123,1561845.0241649798,27570995.384615384
124,1561702.9048582995,27570120.923076924
125,1561560.6998987854,27569241.846153848
126,1561418.5661690284,27568369.846153848
127,1561276.661437247,27567492.307692308
128,1561134.7416497977,27566620.307692308
129,1560992.9881072876,27565744.307692308
130,1560851.274291498,27564872.0
131,1560709.6790232793,27564002.769230768
132,1560568.1408147772,27563129.230769232
133,1560426.641826923,27562257.230769232
134,1560285.2284919028,27561385.230769232
135,1560143.976847166,27560511.692307692
136,1560002.6317054655,27559640.923076924
137,1559861.4996204453,27558772.923076924
138,1559720.4588815789,27557902.153846152
139,1559579.4626771256,27557035.692307692
140,1559438.5661690284,27556162.153846152
141,1559297.6494180162,27555295.692307692
142,1559156.8209767207,27554424.923076924
143,1559016.170673077,27553558.153846152
144,1558875.400430162,27552689.846153848
145,1558734.8440030364,27551824.923076924
146,1558594.2421558704,27550958.153846152
147,1558453.811867409,27550091.692307692
148,1558313.3919534413,27549222.153846152
149,1558173.0417510122,27548355.692307692
150,1558032.7169787448,27547490.153846152
151,1557892.5288461538,27546622.153846152
152,1557752.342611336,27545758.153846152
153,1557612.149291498,27544895.692307692
154,1557472.0907135627,27544027.692307692
155,1557332.1480263157,27543163.692307692
156,1557192.105389676,27542299.692307692
157,1557052.2649291498,27541434.46153846
158,1556912.3986589068,27540572.0
