Date,Close bitcoin,Close ethereum
2015-01-01,314.25,0.0
2015-01-02,315.03,0.0
2015-01-03,281.08,0.0
2015-01-04,264.2,0.0
2015-01-05,274.47,0.0
2015-01-06,286.19,0.0
2015-01-07,294.34,0.0
2015-01-08,283.35,0.0
2015-01-09,290.41,0.0
2015-01-10,274.8,0.0
2015-01-11,265.66,0.0
2015-01-12,267.8,0.0
2015-01-13,225.86,0.0
2015-01-14,178.1,0.0
2015-01-15,209.84,0.0
2015-01-16,208.1,0.0
2015-01-17,199.26,0.0
2015-01-18,210.34,0.0
2015-01-19,214.86,0.0
2015-01-20,211.32,0.0
2015-01-21,226.9,0.0
2015-01-22,233.41,0.0
2015-01-23,232.88,0.0
2015-01-24,247.85,0.0
2015-01-25,253.72,0.0
2015-01-26,273.47,0.0
2015-01-27,263.48,0.0
2015-01-28,233.91,0.0
2015-01-29,233.51,0.0
2015-01-30,226.43,0.0
2015-01-31,217.46,0.0
2015-02-01,226.97,0.0
2015-02-02,238.23,0.0
2015-02-03,227.27,0.0
2015-02-04,226.85,0.0
2015-02-05,217.11,0.0
2015-02-06,222.27,0.0
2015-02-07,227.75,0.0
2015-02-08,223.41,0.0
2015-02-09,220.11,0.0
2015-02-10,219.84,0.0
2015-02-11,219.18,0.0
2015-02-12,221.76,0.0
2015-02-13,235.43,0.0
2015-02-14,257.32,0.0
2015-02-15,234.82,0.0
2015-02-16,233.84,0.0
2015-02-17,243.61,0.0
2015-02-18,236.33,0.0
2015-02-19,240.28,0.0
2015-02-20,243.78,0.0
2015-02-21,244.53,0.0
2015-02-22,235.98,0.0
2015-02-23,238.89,0.0
2015-02-24,238.74,0.0
2015-02-25,237.47,0.0
2015-02-26,236.43,0.0
2015-02-27,253.83,0.0
2015-02-28,254.26,0.0
2015-03-01,260.2,0.0
2015-03-02,275.67,0.0
2015-03-03,281.7,0.0
2015-03-04,273.09,0.0
2015-03-05,276.18,0.0
2015-03-06,272.72,0.0
2015-03-07,276.26,0.0
2015-03-08,274.35,0.0
2015-03-09,289.61,0.0
2015-03-10,291.76,0.0
2015-03-11,296.38,0.0
2015-03-12,294.35,0.0
2015-03-13,285.34,0.0
2015-03-14,281.89,0.0
2015-03-15,286.39,0.0
2015-03-16,290.59,0.0
2015-03-17,285.51,0.0
2015-03-18,256.3,0.0
2015-03-19,260.93,0.0
2015-03-20,261.75,0.0
2015-03-21,260.02,0.0
2015-03-22,267.96,0.0
2015-03-23,266.74,0.0
2015-03-24,245.6,0.0
2015-03-25,246.2,0.0
2015-03-26,248.53,0.0
