Date,bitcoin,prediccion_f1v5n4e20
2018-05-01,9119.01,7168.5474
2018-05-02,9235.92,7175.1255
2018-05-03,9743.86,7232.3745
2018-05-04,9700.76,7337.574
2018-05-05,9858.15,7421.069
2018-05-06,9654.8,7556.653
2018-05-07,9373.01,7809.193
2018-05-08,9234.82,7812.907
2018-05-09,9325.18,7670.164
2018-05-10,9043.94,7481.79
2018-05-11,8441.49,7133.806
2018-05-12,8504.89,6638.108
2018-05-13,8723.94,6412.83
2018-05-14,8716.79,6277.2095
2018-05-15,8510.38,6227.5117
2018-05-16,8368.83,6146.5327
2018-05-17,8094.32,6090.171
2018-05-18,8250.97,5956.9487
2018-05-19,8247.18,5951.7554
2018-05-20,8513.25,5891.163
2018-05-21,8418.99,5926.554
2018-05-22,8041.78,5878.642
2018-05-23,7557.82,5765.6523
2018-05-24,7587.34,5513.1904
2018-05-25,7480.14,5422.5425
