Date,Close bitcoin,holt lineal alfa 0.1 beta 0.1,holt lineal alfa 0.1 beta 0.2,holt lineal alfa 0.1 beta 0.3,holt lineal alfa 0.1 beta 0.4,holt lineal alfa 0.1 beta 0.5,holt lineal alfa 0.1 beta 0.6,holt lineal alfa 0.1 beta 0.7,holt lineal alfa 0.1 beta 0.8,holt lineal alfa 0.1 beta 0.9,holt lineal alfa 0.2 beta 0.1,holt lineal alfa 0.2 beta 0.2,holt lineal alfa 0.2 beta 0.3,holt lineal alfa 0.2 beta 0.4,holt lineal alfa 0.2 beta 0.5,holt lineal alfa 0.2 beta 0.6,holt lineal alfa 0.2 beta 0.7,holt lineal alfa 0.2 beta 0.8,holt lineal alfa 0.2 beta 0.9,holt lineal alfa 0.3 beta 0.1,holt lineal alfa 0.3 beta 0.2,holt lineal alfa 0.3 beta 0.3,holt lineal alfa 0.3 beta 0.4,holt lineal alfa 0.3 beta 0.5,holt lineal alfa 0.3 beta 0.6,holt lineal alfa 0.3 beta 0.7,holt lineal alfa 0.3 beta 0.8,holt lineal alfa 0.3 beta 0.9,holt lineal alfa 0.4 beta 0.1,holt lineal alfa 0.4 beta 0.2,holt lineal alfa 0.4 beta 0.3,holt lineal alfa 0.4 beta 0.4,holt lineal alfa 0.4 beta 0.5,holt lineal alfa 0.4 beta 0.6,holt lineal alfa 0.4 beta 0.7,holt lineal alfa 0.4 beta 0.8,holt lineal alfa 0.4 beta 0.9,holt lineal alfa 0.5 beta 0.1,holt lineal alfa 0.5 beta 0.2,holt lineal alfa 0.5 beta 0.3,holt lineal alfa 0.5 beta 0.4,holt lineal alfa 0.5 beta 0.5,holt lineal alfa 0.5 beta 0.6,holt lineal alfa 0.5 beta 0.7,holt lineal alfa 0.5 beta 0.8,holt lineal alfa 0.5 beta 0.9,holt lineal alfa 0.6 beta 0.1,holt lineal alfa 0.6 beta 0.2,holt lineal alfa 0.6 beta 0.3,holt lineal alfa 0.6 beta 0.4,holt lineal alfa 0.6 beta 0.5,holt lineal alfa 0.6 beta 0.6,holt lineal alfa 0.6 beta 0.7,holt lineal alfa 0.6 beta 0.8,holt lineal alfa 0.6 beta 0.9,holt lineal alfa 0.7 beta 0.1,holt lineal alfa 0.7 beta 0.2,holt lineal alfa 0.7 beta 0.3,holt lineal alfa 0.7 beta 0.4,holt lineal alfa 0.7 beta 0.5,holt lineal alfa 0.7 beta 0.6,holt lineal alfa 0.7 beta 0.7,holt lineal alfa 0.7 beta 0.8,holt lineal alfa 0.7 beta 0.9,holt lineal alfa 0.8 beta 0.1,holt lineal alfa 0.8 beta 0.2,holt lineal alfa 0.8 beta 0.3,holt lineal alfa 0.8 beta 0.4,holt lineal alfa 0.8 beta 0.5,holt lineal alfa 0.8 beta 0.6,holt lineal alfa 0.8 beta 0.7,holt lineal alfa 0.8 beta 0.8,holt lineal alfa 0.8 beta 0.9,holt lineal alfa 0.9 beta 0.1,holt lineal alfa 0.9 beta 0.2,holt lineal alfa 0.9 beta 0.3,holt lineal alfa 0.9 beta 0.4,holt lineal alfa 0.9 beta 0.5,holt lineal alfa 0.9 beta 0.6,holt lineal alfa 0.9 beta 0.7,holt lineal alfa 0.9 beta 0.8,holt lineal alfa 0.9 beta 0.9
2017-11-18,7790.15,8314.856162100647,8000.559337210496,8231.584428208642,8800.344157621217,9345.763445326142,9914.455227744678,10643.145416775882,11439.24408246268,11935.806510789625,8362.853546838553,8818.917429899586,9504.378642001575,10091.412278837639,10337.82573189199,10192.235312897368,9803.289586353503,9336.21568398466,8894.894789722464,8536.975978067145,9081.241277313558,9469.428712267123,9462.260506595361,9127.578534500637,8634.367584609625,8078.175278983698,7481.006641099598,6858.2439115723155,8552.317045649977,8932.661459552168,8970.504866006195,8639.77851738031,8098.241440433922,7471.610470452727,6833.70012925006,6239.465291104387,5723.968336535983,8470.235068839935,8658.787994944365,8459.880577554937,7961.7754493422635,7332.268852230031,6685.589466729214,6083.791826463777,5549.341151600003,5077.131187490428,8348.617847751382,8374.411843039114,8021.85724171183,7435.205373633694,6775.937000363105,6136.841850096553,5554.989045761176,5036.414825452664,4576.533041414805,8216.360637965794,8112.355731815807,7656.504135337194,7018.264095752463,6344.36878604784,5707.645105998337,5131.979296362181,4618.767715563364,4161.087171957923,8085.431640308542,7877.332780786884,7346.634680550499,6671.711146581474,5983.581312146104,5340.188703816623,4756.532124505429,4228.7525067191,3746.00408492536,7959.964567317166,7665.844367590182,7075.784070801489,6368.867081539276,5661.885340753775,5001.402025100403,4395.992436331943,3838.877408454111,3319.0121305984685
2017-11-19,8036.49,8412.710333695437,8081.801020948954,8342.039611771417,8955.390355983109,9540.855778897476,10151.827562551121,10933.176247147912,11780.533091780662,12299.065987341912,8460.969953426087,8952.775477201363,9686.516901920975,10310.222204779273,10564.978763944484,10398.57103949623,9972.610864930608,9464.939831309985,8986.504761796095,8641.865196958173,9224.331169277906,9635.859739051131,9620.91599865125,9254.320752030795,8718.321078929735,8115.341687346443,7468.782660337559,6795.352460979045,8656.416849392861,9062.249233111143,9097.89681263381,8736.64973967927,8149.052762413392,7470.573786067852,6780.731106184914,6138.717352424779,5582.154302065534,8569.41314251692,8769.46876410141,8551.239215115265,8010.68017881924,7329.019613620501,6629.454263029089,5978.808502190848,5401.146639299161,4890.80610767685,8441.415563293109,8466.794145158688,8083.587824733787,7447.957337270288,6734.352869806461,6042.904807074563,5413.537014369478,4852.680775942566,4355.334545490834,8302.55045072662,8188.440866608244,7694.085337804689,7002.841494388299,6273.32333096235,5584.190993157341,4961.19930745882,4405.80727784318,3910.4916319836652,8165.250055629855,7939.092766111034,7364.004492569086,6633.036340504135,5887.919349161302,5191.300443980546,4559.368298642294,3987.9179286813505,3465.1932640982914,8033.778478232093,7714.877889201103,7075.617885272097,6309.906249081618,5544.177754567693,4828.826083019489,4173.1198167490165,3569.7086970202754,3006.6289389559374
2017-11-20,8200.64,8510.564505290227,8163.042704687412,8452.494795334194,9110.436554345,9735.94811246881,10389.199897357563,11223.20707751994,12121.822101098645,12662.325463894196,8559.086360013624,9086.633524503139,9868.65516184038,10529.032130720909,10792.131795996978,10604.906766095091,10141.932143507714,9593.663978635312,9078.114733869725,8746.754415849202,9367.421061242254,9802.29076583514,9779.57149070714,9381.062969560953,8802.274573249848,8152.508095709189,7456.55867957552,6732.461010385773,8760.516653135744,9191.837006670117,9225.288759261424,8833.52096197823,8199.864084392862,7469.537101682977,6727.762083119769,6037.969413745173,5440.340267595085,8668.591216193905,8880.149533258455,8642.597852675593,8059.584908296215,7325.770375010971,6573.319059328964,5873.82517791792,5252.952126998317,4704.48102786327,8534.213278834835,8559.176447278263,8145.3184077557435,7460.709300906882,6692.7687392498165,5948.967764052573,5272.08498297778,4668.946726432467,4134.136049566863,8388.740263487447,8264.526001400678,7731.666540272184,6987.418893024134,6202.277875876859,5460.7368803163445,4790.4193185554595,4192.846840122996,3659.896092009407,8245.068470951166,8000.852751435183,7381.374304587674,6594.361534426797,5792.2573861764995,5042.412184144469,4362.204472779159,3747.083350643601,3184.3824432712227,8107.592389147019,7763.911410812024,7075.451699742705,6250.945416623959,5426.470168381611,4656.250140938575,3950.247197166089,3300.53998558644,2694.2457473134064
2017-11-21,8071.26,8608.418676885018,8244.28438842587,8562.94997889697,9265.482752706892,9931.040446040144,10626.572232164004,11513.237907891971,12463.111110416627,13025.584940446483,8657.202766601158,9220.491571804916,10050.793421759781,10747.842056662543,11019.284828049473,10811.242492693953,10311.253422084821,9722.388125960639,9169.724705943356,8851.64363474023,9510.5109532066,9968.721792619146,9938.22698276303,9507.80518709111,8886.228067569959,8189.674504071933,7444.334698813481,6669.569559792502,8864.616456878628,9321.424780229092,9352.680705889037,8930.392184277192,8250.675406372331,7468.500417298102,6674.793060054623,5937.221475065566,5298.526233124635,8767.76928987089,8990.8303024155,8733.956490235922,8108.48963777319,7322.521136401441,6517.1838556288385,5768.841853644991,5104.757614697473,4518.155948049692,8627.01099437656,8651.55874939784,8207.048990777701,7473.461264543476,6651.184608693173,5855.030721030584,5130.6329515860825,4485.212676922368,3912.9375536428934,8474.930076248273,8340.611136193114,7769.247742739679,6971.996291659971,6131.232420791368,5337.282767475348,4619.639329652098,3979.8864024028117,3409.300552035149,8324.88688627248,8062.612736759333,7398.744116606261,6555.6867283494585,5696.595423191697,4893.523924308392,4165.040646916024,3506.2487726058516,2903.571622444154,8181.406300061946,7812.944932422945,7075.285514213313,6191.984584166301,5308.762582195529,4483.6741988576605,3727.3745775831617,3031.371274152604,2381.8625556708757
2017-11-22,8253.55,8706.272848479808,8325.526072164328,8673.405162459747,9420.528951068783,10126.132779611478,10863.944566970447,11803.268738264,12804.400119734608,13388.844416998767,8755.319173188695,9354.349619106692,10232.931681679183,10966.651982604179,11246.437860101969,11017.578219292816,10480.574700661928,9851.112273285964,9261.334678016985,8956.532853631259,9653.600845170948,10135.152819403154,10096.882474818918,9634.547404621268,8970.18156189007,8226.840912434678,7432.110718051442,6606.678109199231,8968.716260621512,9451.012553788069,9480.072652516652,9027.263406576152,8301.486728351802,7467.463732913226,6621.8240369894775,5836.473536385959,5156.712198654185,8866.947363547875,9101.511071572544,8825.31512779625,8157.3943672501655,7319.27189779191,6461.048651928713,5663.858529372062,4956.563102396631,4331.830868236113,8719.808709918287,8743.941051517415,8268.779573799657,7486.2132281800705,6609.600478136528,5761.093678008594,4989.180920194384,4301.478627412269,3691.739057718923,8561.1198890091,8416.69627098555,7806.828945207174,6956.573690295807,6060.186965705878,5213.828654634352,4448.859340748737,3766.9259646826276,3158.705012060891,8404.70530159379,8124.372722083483,7416.113928624848,6517.01192227212,5600.933460206894,4744.635664472316,3967.8768210528888,3265.414194568102,2622.7608016170852,8255.220210976873,7861.978454033867,7075.119328683922,6133.0237517086425,5191.054996009447,4311.098256776746,3504.5019580002345,2762.2025627187686,2069.479364028345
2017-11-23,8038.77,8804.127020074598,8406.767755902787,8783.860346022522,9575.575149430675,10321.225113182812,11101.316901776889,12093.29956863603,13145.689129052591,13752.103893551051,8853.435579776231,9488.207666408467,10415.069941598586,11185.461908545814,11473.590892154465,11223.913945891676,10649.895979239034,9979.83642061129,9352.944650090616,9061.422072522288,9796.690737135294,10301.583846187163,10255.537966874808,9761.289622151426,9054.135056210182,8264.007320797424,7419.886737289403,6543.786658605959,9072.816064364393,9580.600327347043,9607.464599144267,9124.134628875114,8352.29805033127,7466.4270485283505,6568.8550139243325,5735.725597706352,5014.898164183735,8966.12543722486,9212.191840729589,8916.673765356576,8206.299096727142,7316.02265918238,6404.913448228588,5558.8752050991325,4808.368590095788,4145.505788422534,8812.606425460013,8836.32335363699,8330.510156821614,7498.965191816665,6568.016347579884,5667.156634986604,4847.728888802686,4117.74457790217,3470.5405617949527,8647.309701769926,8492.781405777985,7844.410147674669,6941.151088931642,5989.141510620388,5090.374541793355,4278.079351845376,3553.9655269624436,2908.109472086633,8484.523716915102,8186.132707407633,7433.483740643435,6478.337116194782,5505.271497222091,4595.747404636239,3770.7129951897537,3024.5796165303527,2341.9499807900165,8329.0341218918,7911.0119756447875,7074.953143154529,6074.062919250984,5073.3474098233655,4138.5223146958315,3281.6293384173073,2493.033851284933,1757.0961723858145
2017-11-24,8253.69,8901.981191669389,8488.009439641244,8894.3155295853,9730.621347792567,10516.317446754145,11338.68923658333,12383.33039900806,13486.978138370574,14115.363370103338,8951.551986363766,9622.065713710244,10597.208201517988,11404.271834487448,11700.74392420696,11430.24967249054,10819.217257816139,10108.560567936616,9444.554622164245,9166.311291413316,9939.780629099641,10468.014872971171,10414.193458930698,9888.031839681582,9138.088550530292,8301.17372916017,7407.662756527364,6480.895208012688,9176.915868107277,9710.188100906018,9734.856545771881,9221.005851174075,8403.10937231074,7465.390364143475,6515.885990859187,5634.977659026745,4873.084129713286,9065.303510901846,9322.872609886634,9008.032402916904,8255.203826204117,7312.77342057285,6348.778244528463,5453.891880826203,4660.174077794944,3959.1807086089557,8905.40414100174,8928.705655756567,8392.240739843572,7511.717155453259,6526.43221702324,5573.219591964615,4706.276857410989,3934.010528392071,3249.3420658709824,8733.499514530751,8568.866540570421,7881.991350142163,6925.728487567479,5918.096055534897,4966.920428952359,4107.299362942014,3341.0050892422596,2657.513932112375,8564.342132236416,8247.892692731783,7450.853552662023,6439.662310117443,5409.609534237288,4446.8591448001625,3573.5491693266185,2783.7450384926033,2061.139159962948,8402.848032806727,7960.045497255709,7074.786957625138,6015.102086793326,4955.639823637283,3965.9463726149174,3058.75671883438,2223.8651398510974,1444.7129807432839
2017-11-25,8790.92,8999.83536326418,8569.251123379703,9004.770713148075,9885.66754615446,10711.409780325479,11576.061571389771,12673.36122938009,13828.267147688555,14478.622846655622,9049.668392951302,9755.92376101202,10779.346461437392,11623.081760429082,11927.896956259454,11636.585399089401,10988.538536393246,10237.284715261943,9536.164594237876,9271.200510304345,10082.87052106399,10634.44589975518,10572.848950986587,10014.77405721174,9222.042044850405,8338.340137522915,7395.438775765325,6418.003757419417,9281.01567185016,9839.775874464995,9862.248492399496,9317.877073473035,8453.92069429021,7464.3536797586,6462.916967794041,5534.229720347139,4731.270095242837,9164.481584578833,9433.553379043678,9099.391040477232,8304.108555681092,7309.52418196332,6292.643040828338,5348.908556553275,4511.979565494101,3772.8556287953766,8998.201856543466,9021.087957876141,8453.971322865527,7524.469119089853,6484.848086466595,5479.282548942624,4564.82482601929,3750.2764788819723,3028.143569947012,8819.689327291579,8644.951675362858,7919.5725526096585,6910.305886203314,5847.0506004494055,4843.466316111362,3936.519374038654,3128.0446515220756,2406.9183921381173,8644.160547557727,8309.652678055932,7468.223364680609,6400.987504040104,5313.947571252485,4297.970884964086,3376.385343463484,2542.910460454854,1780.328339135879,8476.661943721652,8009.079018866631,7074.620772095745,5956.141254335667,4837.932237451201,3793.3704305340034,2835.8840992514533,1954.6964284172618,1132.3297891007524
2017-11-26,9330.55,9097.68953485897,8650.49280711816,9115.22589671085,10040.713744516352,10906.502113896813,11813.433906196213,12963.39205975212,14169.556157006537,14841.882323207908,9147.784799538837,9889.781808313797,10961.484721356792,11841.891686370718,12155.049988311948,11842.921125688263,11157.859814970352,10366.008862587269,9627.774566311506,9376.089729195373,10225.960413028335,10800.876926539187,10731.504443042477,10141.516274741898,9305.995539170515,8375.506545885659,7383.214795003286,6355.112306826146,9385.115475593044,9969.36364802397,9989.640439027111,9414.748295771997,8504.73201626968,7463.316995373725,6409.947944728895,5433.481781667531,4589.456060772387,9263.659658255818,9544.234148200723,9190.74967803756,8353.013285158067,7306.27494335379,6236.5078371282125,5243.925232280346,4363.785053193258,3586.530548981798,9090.999572085191,9113.470259995716,8515.701905887485,7537.221082726447,6443.263955909952,5385.345505920634,4423.372794627592,3566.5424293718734,2806.9450740230413,8905.879140052404,8721.036810155292,7957.153755077154,6894.88328483915,5776.005145363915,4720.012203270366,3765.7393851352927,2915.0842138018916,2156.3228521638594,8723.97896287904,8371.41266338008,7485.593176699196,6362.312697962765,5218.285608267683,4149.082625128009,3179.2215176003488,2302.0758824171044,1499.5175183088104,8550.47585463658,8058.112540477552,7074.454586566353,5897.180421878009,4720.224651265119,3620.794488453089,2613.0114796685257,1685.5277169834262,819.9465974582217
2017-11-27,9818.35,9195.54370645376,8731.73449085662,9225.681080273627,10195.759942878243,11101.594447468147,12050.806241002656,13253.42289012415,14510.84516632452,15205.141799760193,9245.901206126373,10023.639855615573,11143.622981276196,12060.701612312354,12382.203020364444,12049.256852287124,11327.181093547457,10494.733009912596,9719.384538385137,9480.978948086402,10369.050304992681,10967.307953323196,10890.159935098367,10268.258492272056,9389.949033490626,8412.672954248404,7370.990814241247,6292.220856232874,9489.215279335927,10098.951421582944,10117.032385654726,9511.619518070958,8555.54333824915,7462.28031098885,6356.978921663749,5332.733842987925,4447.642026301937,9362.837731932803,9654.914917357768,9282.108315597889,8401.918014635043,7303.025704744259,6180.372633428087,5138.941908007417,4215.5905408924145,3400.205469168219,9183.797287626918,9205.852562115291,8577.432488909442,7549.973046363041,6401.679825353307,5291.408462898645,4281.920763235894,3382.8083798617745,2585.7465780990715,8992.068952813232,8797.121944947728,7994.734957544649,6879.460683474987,5704.959690278424,4596.558090429369,3594.9593962319314,2702.1237760817075,1905.7273121896005,8803.797378200352,8433.17264870423,7502.962988717783,6323.637891885427,5122.62364528288,4000.194365291932,2982.0576917372136,2061.241304379355,1218.7066974817417,8624.289765551506,8107.146062088474,7074.288401036962,5838.2195894203505,4602.517065079037,3448.2185463721744,2390.138860085599,1416.3590055495906,507.5634058156911
2017-11-28,10058.8,9293.39787804855,8812.976174595076,9336.136263836404,10350.806141240135,11296.686781039482,12288.178575809097,13543.453720496178,14852.134175642503,15568.401276312477,9344.01761271391,10157.497902917348,11325.761241195598,12279.511538253988,12609.356052416939,12255.592578885986,11496.502372124563,10623.457157237921,9810.994510458768,9585.86816697743,10512.140196957029,11133.738980107202,11048.815427154255,10395.000709802212,9473.902527810738,8449.83936261115,7358.766833479208,6229.329405639603,9593.31508307881,10228.539195141919,10244.424332282339,9608.490740369918,8606.354660228619,7461.243626603975,6304.009898598604,5231.985904308318,4305.827991831487,9462.015805609788,9765.595686514813,9373.466953158215,8450.822744112018,7299.776466134729,6124.237429727962,5033.958583734488,4067.396028591571,3213.88038935464,9276.595003168644,9298.234864234866,8639.163071931398,7562.725009999635,6360.095694796662,5197.471419876655,4140.468731844196,3199.0743303516756,2364.5480821751007,9078.258765574057,8873.207079740165,8032.316160012144,6864.038082110822,5633.914235192933,4473.103977588373,3424.1794073285705,2489.1633383615235,1655.1317722153426,8883.615793521665,8494.93263402838,7520.332800736371,6284.963085808088,5026.961682298077,3851.3061054558552,2784.893865874079,1820.4067263416055,937.895876654673,8698.103676466433,8156.179583699394,7074.122215507569,5779.258756962692,4484.809478892956,3275.6426042912603,2167.2662405026713,1147.190294115755,195.1802141731605
2017-11-29,9888.61,9391.25204964334,8894.217858333535,9446.59144739918,10505.852339602026,11491.779114610816,12525.55091061554,13833.484550868208,15193.423184960484,15931.660752864764,9442.134019301444,10291.355950219124,11507.899501115,12498.321464195624,12836.509084469435,12461.928305484847,11665.82365070167,10752.181304563248,9902.604482532397,9690.75738586846,10655.230088921377,11300.17000689121,11207.470919210145,10521.74292733237,9557.856022130849,8487.005770973894,7346.542852717169,6166.437955046331,9697.414886821694,10358.126968700893,10371.816278909955,9705.36196266888,8657.16598220809,7460.206942219099,6251.040875533458,5131.23796562871,4164.013957361038,9561.193879286773,9876.276455671858,9464.825590718545,8499.727473588993,7296.527227525199,6068.102226027837,4928.975259461558,3919.201516290728,3027.5553095410614,9369.39271871037,9390.617166354443,8700.893654953356,7575.47697363623,6318.511564240019,5103.534376854665,3999.016700452498,3015.3402808415767,2143.34958625113,9164.448578334883,8949.292214532601,8069.897362479638,6848.615480746658,5562.868780107443,4349.649864747376,3253.3994184252097,2276.2029006413395,1404.5362322410847,8963.434208842977,8556.69261935253,7537.702612754958,6246.28827973075,4931.299719313274,3702.4178456197783,2587.7300400109434,1579.572148303856,657.0850558276043,8771.917587381358,8205.213105310315,7073.956029978178,5720.297924505034,4367.101892706873,3103.0666622103463,1944.3936209197445,878.0215826819194,-117.20297746937013
2017-11-30,10233.6,9489.106221238131,8975.459542071992,9557.046630961955,10660.89853796392,11686.87144818215,12762.923245421982,14123.515381240239,15534.712194278465,16294.920229417048,9540.25042588898,10425.213997520901,11690.037761034402,12717.13139013726,13063.66211652193,12668.264032083709,11835.144929278777,10880.905451888575,9994.214454606028,9795.646604759488,10798.319980885723,11466.601033675219,11366.126411266036,10648.485144862529,9641.809516450961,8524.17217933664,7334.31887195513,6103.54650445306,9801.514690564578,10487.71474225987,10499.208225537568,9802.233184967841,8707.977304187558,7459.170257834224,6198.0718524683125,5030.4900269491045,4022.199922890588,9660.37195296376,9986.957224828902,9556.184228278871,8548.632203065968,7293.277988915669,6011.967022327712,4823.991935188629,3771.0070039898847,2841.2302297274828,9462.190434252097,9482.999468474018,8762.624237975313,7588.228937272824,6276.927433683374,5009.597333832675,3857.5646690607996,2831.606231331478,1922.15109032716,9250.63839109571,9025.377349325036,8107.478564947133,6833.192879382494,5491.823325021953,4226.19575190638,3082.6194295218484,2063.2424629211564,1153.9406922668268,9043.252624164288,8618.45260467668,7555.072424773545,6207.613473653411,4835.637756328471,3553.529585783702,2390.5662141478088,1338.7375702661056,376.27423500053465,8845.731498296285,8254.246626921236,7073.7898444487855,5661.337092047375,4249.394306520791,2930.490720129432,1721.5210013368178,608.8528712480829,-429.58616911190074
