Date,Close bitcoin,holt exp alfa 0.1 beta 0.1,holt exp alfa 0.1 beta 0.2,holt exp alfa 0.1 beta 0.3,holt exp alfa 0.1 beta 0.4,holt exp alfa 0.1 beta 0.5,holt exp alfa 0.1 beta 0.6,holt exp alfa 0.1 beta 0.7,holt exp alfa 0.1 beta 0.8,holt exp alfa 0.1 beta 0.9,holt exp alfa 0.2 beta 0.1,holt exp alfa 0.2 beta 0.2,holt exp alfa 0.2 beta 0.3,holt exp alfa 0.2 beta 0.4,holt exp alfa 0.2 beta 0.5,holt exp alfa 0.2 beta 0.6,holt exp alfa 0.2 beta 0.7,holt exp alfa 0.2 beta 0.8,holt exp alfa 0.2 beta 0.9,holt exp alfa 0.3 beta 0.1,holt exp alfa 0.3 beta 0.2,holt exp alfa 0.3 beta 0.3,holt exp alfa 0.3 beta 0.4,holt exp alfa 0.3 beta 0.5,holt exp alfa 0.3 beta 0.6,holt exp alfa 0.3 beta 0.7,holt exp alfa 0.3 beta 0.8,holt exp alfa 0.3 beta 0.9,holt exp alfa 0.4 beta 0.1,holt exp alfa 0.4 beta 0.2,holt exp alfa 0.4 beta 0.3,holt exp alfa 0.4 beta 0.4,holt exp alfa 0.4 beta 0.5,holt exp alfa 0.4 beta 0.6,holt exp alfa 0.4 beta 0.7,holt exp alfa 0.4 beta 0.8,holt exp alfa 0.4 beta 0.9,holt exp alfa 0.5 beta 0.1,holt exp alfa 0.5 beta 0.2,holt exp alfa 0.5 beta 0.3,holt exp alfa 0.5 beta 0.4,holt exp alfa 0.5 beta 0.5,holt exp alfa 0.5 beta 0.6,holt exp alfa 0.5 beta 0.7,holt exp alfa 0.5 beta 0.8,holt exp alfa 0.5 beta 0.9,holt exp alfa 0.6 beta 0.1,holt exp alfa 0.6 beta 0.2,holt exp alfa 0.6 beta 0.3,holt exp alfa 0.6 beta 0.4,holt exp alfa 0.6 beta 0.5,holt exp alfa 0.6 beta 0.6,holt exp alfa 0.6 beta 0.7,holt exp alfa 0.6 beta 0.8,holt exp alfa 0.6 beta 0.9,holt exp alfa 0.7 beta 0.1,holt exp alfa 0.7 beta 0.2,holt exp alfa 0.7 beta 0.3,holt exp alfa 0.7 beta 0.4,holt exp alfa 0.7 beta 0.5,holt exp alfa 0.7 beta 0.6,holt exp alfa 0.7 beta 0.7,holt exp alfa 0.7 beta 0.8,holt exp alfa 0.7 beta 0.9,holt exp alfa 0.8 beta 0.1,holt exp alfa 0.8 beta 0.2,holt exp alfa 0.8 beta 0.3,holt exp alfa 0.8 beta 0.4,holt exp alfa 0.8 beta 0.5,holt exp alfa 0.8 beta 0.6,holt exp alfa 0.8 beta 0.7,holt exp alfa 0.8 beta 0.8,holt exp alfa 0.8 beta 0.9,holt exp alfa 0.9 beta 0.1,holt exp alfa 0.9 beta 0.2,holt exp alfa 0.9 beta 0.3,holt exp alfa 0.9 beta 0.4,holt exp alfa 0.9 beta 0.5,holt exp alfa 0.9 beta 0.6,holt exp alfa 0.9 beta 0.7,holt exp alfa 0.9 beta 0.8,holt exp alfa 0.9 beta 0.9
2017-01-01,998.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,1021.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,1043.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,1154.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,1013.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,902.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07,908.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,911.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,902.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,907.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,777.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,804.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,823.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-14,818.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-15,821.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,831.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
