f2v5n4e20_loss,f2v5n4e20val_loss
0.08086847163808082,0.06001198721619753
0.0615577765429911,0.055751987968336095
0.05115855700277421,0.0509340239913909
0.04291467842787853,0.02841598784632899
0.03271467654457768,0.02476913683566746
0.025037335661008936,0.021192222112114287
0.018765791505605898,0.015964991597274502
0.014294400156618358,0.017572220604211746
0.010603001006990413,0.013868268006123029
0.008657746431708802,0.013985945262362832
0.007014086763426726,0.01400350263229684
0.006215709151554543,0.014597995483040154
0.00568885519929503,0.015348676180180449
0.005120653872392607,0.010678962901603061
0.00504486189712371,0.013198821976842297
0.004344659786535326,0.0171065654472581
0.004583158033648395,0.01568561669817747
0.004389192689437324,0.014415633790502017
0.0037868631198356606,0.016416133801033208
0.003516074077168321,0.01672037630367533
